,Symbol,Security
368,PFE,Pfizer
369,PCG,PG&E Corporation
370,PM,Philip Morris International
371,PSX,Phillips 66
372,PNW,Pinnacle West Capital
373,PNC,PNC Financial Services
374,POOL,Pool Corporation
375,PPG,PPG Industries
376,PPL,PPL Corporation
377,PFG,Principal Financial Group
378,PG,Procter & Gamble
379,PGR,Progressive Corporation
380,PLD,Prologis
381,PRU,Prudential Financial
382,PEG,Public Service Enterprise Group
383,PTC,PTC Inc.
384,PSA,Public Storage
385,PHM,PulteGroup
386,PWR,Quanta Services
387,QCOM,Qualcomm
388,DGX,Quest Diagnostics
389,RL,Ralph Lauren Corporation
390,RJF,Raymond James Financial
391,RTX,RTX Corporation
392,O,Realty Income
393,REG,Regency Centers
394,REGN,Regeneron Pharmaceuticals
395,RF,Regions Financial Corporation
396,RSG,Republic Services
397,RMD,ResMed
398,RVTY,Revvity
399,HOOD,Robinhood Markets
400,ROK,Rockwell Automation
401,ROL,"Rollins, Inc."
402,ROP,Roper Technologies
403,ROST,Ross Stores
404,RCL,Royal Caribbean Group
405,SPGI,S&P Global
406,CRM,Salesforce
407,SBAC,SBA Communications
408,SLB,Schlumberger
409,STX,Seagate Technology
410,SRE,Sempra
411,NOW,ServiceNow
412,SHW,Sherwin-Williams
413,SPG,Simon Property Group
414,SWKS,Skyworks Solutions
415,SJM,J.M. Smucker Company (The)
416,SW,Smurfit Westrock
417,SNA,Snap-on
418,SOLV,Solventum
419,SO,Southern Company
420,LUV,Southwest Airlines
421,SWK,Stanley Black & Decker
422,SBUX,Starbucks
423,STT,State Street Corporation
424,STLD,Steel Dynamics
425,STE,Steris
426,SYK,Stryker Corporation
427,SMCI,Supermicro
428,SYF,Synchrony Financial
429,SNPS,Synopsys
430,SYY,Sysco
431,TMUS,T-Mobile US
432,TROW,T. Rowe Price
433,TTWO,Take-Two Interactive
434,TPR,"Tapestry, Inc."
435,TRGP,Targa Resources
436,TGT,Target Corporation
437,TEL,TE Connectivity
438,TDY,Teledyne Technologies
439,TER,Teradyne
440,TSLA,"Tesla, Inc."
441,TXN,Texas Instruments
442,TPL,Texas Pacific Land Corporation
443,TXT,Textron
444,TMO,Thermo Fisher Scientific
445,TJX,TJX Companies
446,TKO,TKO Group Holdings
447,TTD,Trade Desk (The)
448,TSCO,Tractor Supply
449,TT,Trane Technologies
450,TDG,TransDigm Group
451,TRV,Travelers Companies (The)
452,TRMB,Trimble Inc.
453,TFC,Truist Financial
454,TYL,Tyler Technologies
455,TSN,Tyson Foods
456,USB,U.S. Bancorp
457,UBER,Uber
458,UDR,"UDR, Inc."
459,ULTA,Ulta Beauty
460,UNP,Union Pacific Corporation
461,UAL,United Airlines Holdings
462,UPS,United Parcel Service
463,URI,United Rentals
464,UNH,UnitedHealth Group
465,UHS,Universal Health Services
466,VLO,Valero Energy
467,VTR,Ventas
468,VLTO,Veralto
469,VRSN,Verisign
470,VRSK,Verisk Analytics
471,VZ,Verizon
472,VRTX,Vertex Pharmaceuticals
473,VTRS,Viatris
474,VICI,Vici Properties
475,V,Visa Inc.
476,VST,Vistra Corp.
477,VMC,Vulcan Materials Company
478,WRB,W. R. Berkley Corporation
479,GWW,W. W. Grainger
480,WAB,Wabtec
481,WMT,Walmart
482,DIS,Walt Disney Company (The)
483,WBD,Warner Bros. Discovery
484,WM,Waste Management
485,WAT,Waters Corporation
486,WEC,WEC Energy Group
487,WFC,Wells Fargo
488,WELL,Welltower
489,WST,West Pharmaceutical Services
490,WDC,Western Digital
491,WY,Weyerhaeuser
492,WSM,"Williams-Sonoma, Inc."
493,WMB,Williams Companies
494,WTW,Willis Towers Watson
495,WDAY,"Workday, Inc."
496,WYNN,Wynn Resorts
497,XEL,Xcel Energy
498,XYL,Xylem Inc.
499,YUM,Yum! Brands
500,ZBRA,Zebra Technologies
501,ZBH,Zimmer Biomet
502,ZTS,Zoetis
